2024-02-16 16:07:07,408 [INFO] Loading files..
2024-02-16 16:07:30,260 [DEBUG] networkData is type of <class 'list'>
2024-02-16 16:07:30,276 [INFO] Analyzing files..
2024-02-16 16:07:30,276 [DEBUG] SHOWING LINKS STRUCTURE:
2024-02-16 16:07:30,276 [DEBUG] {frozenset({'switch2', 'switch1'}): {'linkID': 1, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch1'}): {'linkID': 2, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch1', 'switch4'}): {'linkID': 3, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch2'}): {'linkID': 4, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch2', 'switch4'}): {'linkID': 5, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}, frozenset({'switch3', 'switch4'}): {'linkID': 6, 'capacity': 10, 'trafficDT': 0, 'trafficUDT': 0, 'updateDeltaTraffic': [], 'traffic': []}}
2024-02-16 16:07:30,276 [INFO] Link ID frozenset({'switch2', 'switch1'}):
2024-02-16 16:07:30,276 [INFO] endpoint: switch2
2024-02-16 16:07:30,276 [INFO] endpoint: switch1
2024-02-16 16:07:30,276 [INFO] Link ID frozenset({'switch3', 'switch1'}):
2024-02-16 16:07:30,284 [INFO] endpoint: switch3
2024-02-16 16:07:30,285 [INFO] endpoint: switch1
2024-02-16 16:07:30,286 [INFO] Link ID frozenset({'switch1', 'switch4'}):
2024-02-16 16:07:30,290 [INFO] endpoint: switch1
2024-02-16 16:07:30,291 [INFO] endpoint: switch4
2024-02-16 16:07:30,292 [INFO] Link ID frozenset({'switch3', 'switch2'}):
2024-02-16 16:07:30,294 [INFO] endpoint: switch3
2024-02-16 16:07:30,295 [INFO] endpoint: switch2
2024-02-16 16:07:30,296 [INFO] Link ID frozenset({'switch2', 'switch4'}):
2024-02-16 16:07:30,297 [INFO] endpoint: switch2
2024-02-16 16:07:30,298 [INFO] endpoint: switch4
2024-02-16 16:07:30,300 [INFO] Link ID frozenset({'switch3', 'switch4'}):
2024-02-16 16:07:30,301 [INFO] endpoint: switch3
2024-02-16 16:07:30,302 [INFO] endpoint: switch4
2024-02-16 16:07:30,302 [INFO] Simulation parameters:
2024-02-16 16:07:30,303 [INFO] {'simTime': 60, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-02-16 16:07:30,304 [DEBUG] ipaddress is type of: <class 'str'>
2024-02-16 16:07:30,304 [INFO] Switches:
2024-02-16 16:07:30,305 [INFO] Switch name:switch1, address:10.0.0.1
2024-02-16 16:07:30,305 [INFO] Switch name:switch2, address:10.0.0.2
2024-02-16 16:07:30,306 [INFO] Switch name:switch3, address:10.0.0.3
2024-02-16 16:07:30,307 [INFO] Switch name:switch4, address:10.0.0.4
2024-02-16 16:07:30,458 [DEBUG] Traffic percetages:
2024-02-16 16:07:30,459 [DEBUG] link: frozenset({'switch2', 'switch1'})
2024-02-16 16:07:30,476 [DEBUG] updateTime: 2024-01-01 00:00:03.500000, delta traffic: 187500, percentage: 15.000000 %
2024-02-16 16:07:30,477 [DEBUG] updateTime: 2024-01-01 00:00:03.600000, delta traffic: 200000, percentage: 16.000000 %
2024-02-16 16:07:30,478 [DEBUG] updateTime: 2024-01-01 00:00:03.700000, delta traffic: 212500, percentage: 17.000000 %
2024-02-16 16:07:30,479 [DEBUG] updateTime: 2024-01-01 00:00:03.800000, delta traffic: 225000, percentage: 18.000000 %
2024-02-16 16:07:30,480 [DEBUG] updateTime: 2024-01-01 00:00:03.900000, delta traffic: 237500, percentage: 19.000000 %
2024-02-16 16:07:30,482 [DEBUG] updateTime: 2024-01-01 00:00:04, delta traffic: 250000, percentage: 20.000000 %
2024-02-16 16:07:30,483 [DEBUG] updateTime: 2024-01-01 00:00:04.100000, delta traffic: 237500, percentage: 19.000000 %
2024-02-16 16:07:30,485 [DEBUG] updateTime: 2024-01-01 00:00:04.200000, delta traffic: 225000, percentage: 18.000000 %
2024-02-16 16:07:30,486 [DEBUG] updateTime: 2024-01-01 00:00:04.300000, delta traffic: 212500, percentage: 17.000000 %
2024-02-16 16:07:30,487 [DEBUG] updateTime: 2024-01-01 00:00:04.400000, delta traffic: 200000, percentage: 16.000000 %
2024-02-16 16:07:30,488 [DEBUG] updateTime: 2024-01-01 00:00:04.500000, delta traffic: 187500, percentage: 15.000000 %
2024-02-16 16:07:30,488 [DEBUG] updateTime: 2024-01-01 00:00:04.600000, delta traffic: 175000, percentage: 14.000000 %
2024-02-16 16:07:30,490 [DEBUG] updateTime: 2024-01-01 00:00:04.700000, delta traffic: 162500, percentage: 13.000000 %
2024-02-16 16:07:30,491 [DEBUG] updateTime: 2024-01-01 00:00:04.800000, delta traffic: 150000, percentage: 12.000000 %
2024-02-16 16:07:30,491 [DEBUG] updateTime: 2024-01-01 00:00:04.900000, delta traffic: 137500, percentage: 11.000000 %
2024-02-16 16:07:30,492 [DEBUG] updateTime: 2024-01-01 00:00:05, delta traffic: 125000, percentage: 10.000000 %
2024-02-16 16:07:30,493 [DEBUG] updateTime: 2024-01-01 00:00:05.100000, delta traffic: 137500, percentage: 11.000000 %
2024-02-16 16:07:30,493 [DEBUG] updateTime: 2024-01-01 00:00:05.200000, delta traffic: 150000, percentage: 12.000000 %
2024-02-16 16:07:30,494 [DEBUG] updateTime: 2024-01-01 00:00:05.300000, delta traffic: 162500, percentage: 13.000000 %
2024-02-16 16:07:30,495 [DEBUG] updateTime: 2024-01-01 00:00:05.400000, delta traffic: 175000, percentage: 14.000000 %
2024-02-16 16:07:30,495 [DEBUG] updateTime: 2024-01-01 00:00:05.500000, delta traffic: 187500, percentage: 15.000000 %
2024-02-16 16:07:30,496 [DEBUG] updateTime: 2024-01-01 00:00:05.600000, delta traffic: 200000, percentage: 16.000000 %
2024-02-16 16:07:30,497 [DEBUG] updateTime: 2024-01-01 00:00:05.700000, delta traffic: 212500, percentage: 17.000000 %
2024-02-16 16:07:30,497 [DEBUG] updateTime: 2024-01-01 00:00:05.800000, delta traffic: 225000, percentage: 18.000000 %
